last_name,first_name,birthday,gender,type,state,party
Crawford,Eric,1/22/1966,M,Rep,AR,R
Coons,Chris,9/9/1963,M,Sen,DE,D
Cartwright,Matthew,5/1/1961,M,Rep,PA,D
Castro,Joaquin,9/16/1974,M,Rep,TX,D
Collins,Chris,5/20/1950,M,Rep,NY,R
Collins,Doug,8/16/1966,M,Rep,GA,R
Cook,Paul,3/3/1943,M,Rep,CA,R
Cotton,Tom,5/13/1977,M,Rep,AR,R
Cramer,Kevin,1/21/1961,M,Rep,ND,R
Cárdenas,Tony,3/31/1963,M,Rep,CA,D
Cruz,Ted,12/22/1970,M,Sen,TX,R
Cowan,William,4/4/1969,M,Sen,MA,D
Davis,Danny,9/6/1941,M,Rep,IL,D
Davis,Thomas,1/5/1949,M,Rep,VA,R
Deal,Nathan,8/25/1942,M,Rep,GA,R
DeFazio,Peter,5/27/1947,M,Rep,OR,D
DeGette,Diana,7/29/1957,F,Rep,CO,D
Delahunt,William,7/18/1941,M,Rep,MA,D
DeLauro,Rosa,3/2/1943,F,Rep,CT,D
Diaz-Balart,Lincoln,8/13/1954,M,Rep,FL,R
Dicks,Norman,12/16/1940,M,Rep,WA,D
Dingell,John,7/8/1926,M,Rep,MI,D
Dodd,Christopher,5/27/1944,M,Sen,CT,D
Doggett,Lloyd,10/6/1946,M,Rep,TX,D
Domenici,Pete,5/7/1932,M,Sen,NM,R
Doolittle,John,10/30/1950,M,Rep,CA,R
Dorgan,Byron,5/14/1942,M,Sen,ND,D
Doyle,Michael,8/5/1953,M,Rep,PA,D
Dreier,David,7/5/1952,M,Rep,CA,R
Duncan,John,7/21/1947,M,Rep,TN,R
Durbin,Richard,11/21/1944,M,Sen,IL,D
DeMint,Jim,9/2/1951,M,Sen,SC,R
Davis,Jo Ann,6/29/1950,F,Rep,VA,R
Davis,Susan,4/13/1944,F,Rep,CA,D
Davis,Lincoln,9/13/1943,M,Rep,TN,D
Diaz-Balart,Mario,9/25/1961,M,Rep,FL,R
Dole,Elizabeth,7/29/1936,F,Sen,NC,R
Davis,Artur,10/9/1967,M,Rep,AL,D
Davis,Geoff,10/26/1958,M,Rep,KY,R
Dent,Charles,5/24/1960,M,Rep,PA,R
Drake,Thelma,11/20/1949,F,Rep,VA,R
Davis,David,11/6/1959,M,Rep,TN,R
Donnelly,Joe,9/28/1955,M,Sen,IN,D
Dahlkemper,Kathleen,12/10/1957,F,Rep,PA,D
Driehaus,Steve,6/24/1966,M,Rep,OH,D
Deutch,Theodore,5/7/1966,M,Rep,FL,D
Djou,Charles,8/9/1970,M,Rep,HI,R
Denham,Jeff,7/29/1967,M,Rep,CA,R
Dold,Bob,6/23/1969,M,Rep,IL,R
Duffy,Sean,10/3/1971,M,Rep,WI,R
Duncan,Jeff,1/7/1966,M,Rep,SC,R
DesJarlais,Scott,2/21/1964,M,Rep,TN,R
DelBene,Suzan,2/17/1962,F,Rep,WA,D
Daines,Steve,8/20/1962,M,Rep,MT,R
Davis,Rodney,1/5/1970,M,Rep,IL,R
Delaney,John,4/16/1963,M,Rep,MD,D
DeSantis,Ron,9/14/1978,M,Rep,FL,R
Duckworth,Tammy,3/12/1968,F,Rep,IL,D
Edwards,Thomas,11/24/1951,M,Rep,TX,D
Ehlers,Vernon,2/6/1934,M,Rep,MI,R
Emerson,Jo Ann,9/16/1950,F,Rep,MO,R
Engel,Eliot,2/18/1947,M,Rep,NY,D
English,Philip,6/20/1956,M,Rep,PA,R
Ensign,John,3/25/1958,M,Sen,NV,R
Eshoo,Anna,12/13/1942,F,Rep,CA,D
Etheridge,Bob,8/7/1941,M,Rep,NC,D
Everett,Terry,2/15/1937,M,Rep,AL,R
Enzi,Michael,2/1/1944,M,Sen,WY,R
Emanuel,Rahm,11/29/1959,M,Rep,IL,D
Ellison,Keith,8/4/1963,M,Rep,MN,D
Ellsworth,Brad,9/11/1958,M,Rep,IN,D
Edwards,Donna,6/28/1958,F,Rep,MD,D
Ellmers,Renee,2/9/1964,F,Rep,NC,R
Enyart,William,9/22/1949,M,Rep,IL,D
Esty,Elizabeth,8/25/1959,F,Rep,CT,D
Faleomavaega,Eni,8/15/1943,M,Rep,AS,D
Farr,Sam,7/4/1941,M,Rep,CA,D
Fattah,Chaka,11/21/1956,M,Rep,PA,D
Feingold,Russell,3/2/1953,M,Sen,WI,D
Feinstein,Dianne,6/22/1933,F,Sen,CA,D
Filner,Bob,9/4/1942,M,Rep,CA,D
Frank,Barney,3/31/1940,M,Rep,MA,D
Frelinghuysen,Rodney,4/29/1946,M,Rep,NJ,R
Fossella,Vito,3/9/1965,M,Rep,NY,R
Ferguson,Michael,6/22/1970,M,Rep,NJ,R
Flake,Jeff,12/31/1962,M,Sen,AZ,R
Forbes,J.,2/17/1952,M,Rep,VA,R
Feeney,Tom,5/21/1958,M,Rep,FL,R
Franks,Trent,6/19/1957,M,Rep,AZ,R
Fortenberry,Jeff,12/27/1960,M,Rep,NE,R
Foxx,Virginia,6/29/1943,F,Rep,NC,R
Fitzpatrick,Michael,6/28/1963,M,Rep,PA,R
Fortuño,Luis,10/31/1960,M,Rep,PR,R
Fallin,Mary,12/9/1954,F,Rep,OK,R
Foster,Bill,10/7/1955,M,Rep,IL,D
Fudge,Marcia,10/29/1952,F,Rep,OH,D
Fleming,John,7/5/1951,M,Rep,LA,R
Franken,Alan,5/21/1951,M,Sen,MN,D
Fincher,Stephen,2/7/1973,M,Rep,TN,R
Fleischmann,Charles,10/11/1962,M,Rep,TN,R
Farenthold,Blake,12/12/1962,M,Rep,TX,R
Flores,Bill,2/25/1954,M,Rep,TX,R
Frankel,Lois,5/16/1948,F,Rep,FL,D
Fischer,Deb,3/1/1951,F,Sen,NE,R
Gallegly,Elton,3/7/1944,M,Rep,CA,R
Gilchrest,Wayne,4/15/1946,M,Rep,MD,R
Gillmor,Paul,2/1/1939,M,Rep,OH,R
Goode,Virgil,10/17/1946,M,Rep,VA,R
Goodlatte,Bob,9/22/1952,M,Rep,VA,R
Gordon,Barton,1/24/1949,M,Rep,TN,D
Graham,Lindsey,7/9/1955,M,Sen,SC,R
Granger,Kay,1/18/1943,F,Rep,TX,R
Grassley,Charles,9/17/1933,M,Sen,IA,R
Green,Gene,10/17/1947,M,Rep,TX,D
Gregg,Judd,2/14/1947,M,Sen,NH,R
Gutierrez,Luis,12/10/1953,M,Rep,IL,D
Gonzalez,Charles,5/5/1945,M,Rep,TX,D
Graves,Sam,11/7/1963,M,Rep,MO,R
Garrett,Scott,7/9/1959,M,Rep,NJ,R
Gerlach,Jim,2/25/1955,M,Rep,PA,R
Gingrey,Phil,7/10/1942,M,Rep,GA,R
Grijalva,Raúl,2/19/1948,M,Rep,AZ,D
Gohmert,Louie,8/18/1953,M,Rep,TX,R
Green,Al,9/1/1947,M,Rep,TX,D
Giffords,Gabrielle,6/8/1970,F,Rep,AZ,D
Gillibrand,Kirsten,12/9/1966,F,Sen,NY,D
Grayson,Alan,3/13/1958,M,Rep,FL,D
Griffith,Parker,8/6/1942,M,Rep,AL,R
Guthrie,Brett,2/18/1964,M,Rep,KY,R
Garamendi,John,1/24/1945,M,Rep,CA,D
Graves,Tom,2/3/1970,M,Rep,GA,R
Goodwin,Carte,2/27/1974,M,Sen,WV,D
Gardner,Cory,8/22/1974,M,Rep,CO,R
Gibbs,Bob,6/14/1954,M,Rep,OH,R
Gibson,Christopher,5/13/1964,M,Rep,NY,R
Gosar,Paul,11/22/1958,M,Rep,AZ,R
Gowdy,Trey,8/22/1964,M,Rep,SC,R
Griffin,Tim,8/21/1968,M,Rep,AR,R
Griffith,H.,3/15/1958,M,Rep,VA,R
Grimm,Michael,2/7/1970,M,Rep,NY,R
Guinta,Frank,9/26/1970,M,Rep,NH,R
Gabbard,Tulsi,4/12/1981,F,Rep,HI,D
Gallego,Pete,12/2/1961,M,Rep,TX,D
Garcia,Joe,10/19/1963,M,Rep,FL,D
Hall,Ralph,5/3/1923,M,Rep,TX,R
Harkin,Thomas,11/19/1939,M,Sen,IA,D
Harman,Jane,6/28/1945,F,Rep,CA,D
Hastert,J.,1/2/1942,M,Rep,IL,R
Hastings,Alcee,9/5/1936,M,Rep,FL,D
Hastings,Doc,2/7/1941,M,Rep,WA,R
Hatch,Orrin,3/22/1934,M,Sen,UT,R
Herger,Walter,5/20/1945,M,Rep,CA,R
Hinchey,Maurice,10/27/1938,M,Rep,NY,D
Hinojosa,Rubén,8/20/1940,M,Rep,TX,D
Hobson,David,10/17/1936,M,Rep,OH,R
Hoekstra,Peter,10/30/1953,M,Rep,MI,R
Holden,Tim,3/5/1957,M,Rep,PA,D
Hooley,Darlene,4/4/1939,F,Rep,OR,D
Hoyer,Steny,6/14/1939,M,Rep,MD,D
Hulshof,Kenny,5/22/1958,M,Rep,MO,R
Hunter,Duncan,5/31/1948,M,Rep,CA,R
Hutchison,Kay,7/22/1943,F,Sen,TX,R
Hagel,Charles,10/4/1946,M,Sen,NE,R
Hayes,Robin,8/14/1945,M,Rep,NC,R
Hill,Baron,6/23/1953,M,Rep,IN,D
Holt,Rush,10/15/1948,M,Rep,NJ,D
Honda,Michael,6/27/1941,M,Rep,CA,D
Hensarling,Jeb,5/29/1957,M,Rep,TX,R
Herseth Sandlin,Stephanie,12/3/1970,F,Rep,SD,D
Higgins,Brian,10/6/1959,M,Rep,NY,D
Hall,John,7/23/1948,M,Rep,NY,D
Hare,Phil,2/21/1949,M,Rep,IL,D
Heller,Dean,5/10/1960,M,Sen,NV,R
Hirono,Mazie,11/3/1947,F,Sen,HI,D
Hodes,Paul,3/21/1951,M,Rep,NH,D
Halvorson,Deborah,3/1/1958,F,Rep,IL,D
Harper,Gregg,6/1/1956,M,Rep,MS,R
Heinrich,Martin,10/17/1971,M,Sen,NM,D
Himes,James,7/5/1966,M,Rep,CT,D
Hunter,Duncan,12/7/1976,M,Rep,CA,R
Hagan,Kay,5/26/1953,F,Sen,NC,D
Hanabusa,Colleen,5/4/1951,F,Rep,HI,D
Hanna,Richard,1/25/1951,M,Rep,NY,R
Harris,Andy,1/25/1957,M,Rep,MD,R
Hartzler,Vicky,10/13/1960,F,Rep,MO,R
Hayworth,Nan,12/14/1959,F,Rep,NY,R
Heck,Joseph,10/30/1961,M,Rep,NV,R
Herrera Beutler,Jaime,11/3/1978,F,Rep,WA,R
Huelskamp,Tim,11/11/1968,M,Rep,KS,R
Huizenga,Bill,1/31/1969,M,Rep,MI,R
Hultgren,Randy,3/1/1966,M,Rep,IL,R
Hurt,Robert,6/16/1969,M,Rep,VA,R
Hoeven,John,3/13/1957,M,Sen,ND,R
Hochul,Kathleen,8/27/1958,F,Rep,NY,D
Hahn,Janice,3/30/1952,F,Rep,CA,D
Heck,Denny,7/29/1952,M,Rep,WA,D
Holding,George,4/17/1968,M,Rep,NC,R
Horsford,Steven,4/29/1973,M,Rep,NV,D
Hudson,Richard,11/4/1971,M,Rep,NC,R
Huffman,Jared,2/18/1964,M,Rep,CA,D
Heitkamp,Heidi,10/30/1955,F,Sen,ND,D
Inglis,Bob,10/11/1959,M,Rep,SC,R
Inhofe,James,11/17/1934,M,Sen,OK,R
Inouye,Daniel,9/7/1924,M,Sen,HI,D
Inslee,Jay,2/9/1951,M,Rep,WA,D
Isakson,John,12/28/1944,M,Sen,GA,R
Issa,Darrell,11/1/1953,M,Rep,CA,R
Israel,Steve,5/30/1958,M,Rep,NY,D
Jackson Lee,Sheila,1/12/1950,F,Rep,TX,D
Jefferson,William,3/14/1947,M,Rep,LA,D
Johnson,Eddie,12/3/1935,F,Rep,TX,D
Johnson,Sam,10/11/1930,M,Rep,TX,R
Johnson,Tim,12/28/1946,M,Sen,SD,D
Jones,Walter,2/10/1943,M,Rep,NC,R
Jackson,Jesse,3/11/1965,M,Rep,IL,D
Jones,Stephanie,9/10/1949,F,Rep,OH,D
Johnson,Timothy,7/23/1946,M,Rep,IL,R
Jindal,Bobby,6/10/1971,M,Rep,LA,R
Johnson,Henry,10/2/1954,M,Rep,GA,D
Jordan,Jim,2/17/1964,M,Rep,OH,R
Jenkins,Lynn,6/10/1963,F,Rep,KS,R
Johanns,Mike,6/18/1950,M,Sen,NE,R
Johnson,Bill,11/10/1954,M,Rep,OH,R
Johnson,Ron,4/8/1955,M,Sen,WI,R
Jeffries,Hakeem,8/4/1970,M,Rep,NY,D
Joyce,David,3/17/1957,M,Rep,OH,R
Kanjorski,Paul,4/2/1937,M,Rep,PA,D
Kaptur,Marcy,6/17/1946,F,Rep,OH,D
Kennedy,Edward,2/22/1932,M,Sen,MA,D
Kennedy,Patrick,7/14/1967,M,Rep,RI,D
Kerry,John,12/11/1943,M,Sen,MA,D
Kildee,Dale,9/16/1929,M,Rep,MI,D
Kilpatrick,Carolyn,6/25/1945,F,Rep,MI,D
Kind,Ron,3/16/1963,M,Rep,WI,D
King,Peter,4/5/1944,M,Rep,NY,R
Kingston,Jack,4/24/1955,M,Rep,GA,R
Knollenberg,Joseph,11/28/1933,M,Rep,MI,R
Kohl,Herbert,2/7/1935,M,Sen,WI,D
Kucinich,Dennis,10/8/1946,M,Rep,OH,D
Kyl,Jon,4/25/1942,M,Sen,AZ,R
Kirk,Mark,9/15/1959,M,Sen,IL,R
Keller,Ric,9/5/1964,M,Rep,FL,R
King,Steve,5/28/1949,M,Rep,IA,R
Kline,John,9/6/1947,M,Rep,MN,R
Kuhl,John,4/19/1943,M,Rep,NY,R
Kagen,Steve,12/12/1949,M,Rep,WI,D
Klein,Ron,7/10/1957,M,Rep,FL,D
Klobuchar,Amy,5/25/1960,F,Sen,MN,D
Kirkpatrick,Ann,3/24/1950,F,Rep,AZ,D
Kissell,Larry,1/31/1951,M,Rep,NC,D
Kosmas,Suzanne,2/25/1944,F,Rep,FL,D
Kratovil,Frank,5/29/1968,M,Rep,MD,D
Kilroy,Mary Jo,4/30/1949,F,Rep,OH,D
Kaufman,Edward,3/15/1939,M,Sen,DE,D
Kirk,Paul,1/18/1938,M,Sen,MA,D
Keating,William,9/6/1952,M,Rep,MA,D
Kelly,Mike,5/10/1948,M,Rep,PA,R
Kinzinger,Adam,2/27/1978,M,Rep,IL,R
Kennedy,Joseph,10/4/1980,M,Rep,MA,D
Kildee,Daniel,8/11/1958,M,Rep,MI,D
Kilmer,Derek,1/1/1974,M,Rep,WA,D
Kuster,Ann,9/5/1956,F,Rep,NH,D
King,Angus,3/31/1944,M,Sen,ME,I
Kaine,Timothy,2/26/1958,M,Sen,VA,D
Lincoln,Blanche,9/30/1960,F,Sen,AR,D
Lampson,Nicholas,2/14/1945,M,Rep,TX,D
Lantos,Tom,2/1/1928,M,Rep,CA,D
Latham,Tom,7/14/1948,M,Rep,IA,R
Lautenberg,Frank,1/23/1924,M,Sen,NJ,D
Leahy,Patrick,3/31/1940,M,Sen,VT,D
Levin,Carl,6/28/1934,M,Sen,MI,D
Levin,Sander,9/6/1931,M,Rep,MI,D
Lewis,Jerry,10/21/1934,M,Rep,CA,R
Lewis,John,2/21/1940,M,Rep,GA,D
Lewis,Ron,9/14/1946,M,Rep,KY,R
Lieberman,Joseph,2/24/1942,M,Sen,CT,I
Linder,John,9/9/1942,M,Rep,GA,R
Lofgren,Zoe,12/21/1947,F,Rep,CA,D
Lowey,Nita,7/5/1937,F,Rep,NY,D
Lucas,Frank,1/6/1960,M,Rep,OK,R
Lugar,Richard,4/4/1932,M,Sen,IN,R
Lungren,Daniel,9/22/1946,M,Rep,CA,R
Landrieu,Mary,11/23/1955,F,Sen,LA,D
Lee,Barbara,7/16/1946,F,Rep,CA,D
LaHood,Ray,12/6/1945,M,Rep,IL,R
LaTourette,Steven,7/22/1954,M,Rep,OH,R
LoBiondo,Frank,5/12/1946,M,Rep,NJ,R
Larson,John,7/22/1948,M,Rep,CT,D
Langevin,James,4/22/1964,M,Rep,RI,D
Larsen,Rick,6/15/1965,M,Rep,WA,D
Lynch,Stephen,3/31/1955,M,Rep,MA,D
Lipinski,Daniel,7/15/1966,M,Rep,IL,D
Lamborn,Doug,5/24/1954,M,Rep,CO,R
Loebsack,David,12/23/1952,M,Rep,IA,D
Latta,Robert,4/18/1956,M,Rep,OH,R
Lance,Leonard,6/25/1952,M,Rep,NJ,R
Lee,Christopher,4/1/1964,M,Rep,NY,R
Luetkemeyer,Blaine,5/7/1952,M,Rep,MO,R
Luján,Ben,6/7/1972,M,Rep,NM,D
Lummis,Cynthia,9/10/1954,F,Rep,WY,R
LeMieux,George,5/21/1969,M,Sen,FL,R
Labrador,Raúl,12/8/1967,M,Rep,ID,R
Landry,Jeff,12/23/1970,M,Rep,LA,R
Lankford,James,3/4/1968,M,Rep,OK,R
Long,Billy,8/11/1955,M,Rep,MO,R
Lee,Mike,6/4/1971,M,Sen,UT,R
LaMalfa,Doug,7/2/1960,M,Rep,CA,R
Lowenthal,Alan,3/8/1941,M,Rep,CA,D
Lujan Grisham,Michelle,10/24/1959,F,Rep,NM,D
Maloney,Carolyn,2/19/1946,F,Rep,NY,D
Markey,Edward,7/11/1946,M,Rep,MA,D
McCain,John,8/29/1936,M,Sen,AZ,R
McCarthy,Carolyn,1/5/1944,F,Rep,NY,D
McGovern,James,11/20/1959,M,Rep,MA,D
McConnell,Mitch,2/20/1942,M,Sen,KY,R
McCrery,James,9/18/1949,M,Rep,LA,R
McDermott,Jim,12/28/1936,M,Rep,WA,D
McHugh,John,9/29/1948,M,Rep,NY,R
McIntyre,Mike,8/6/1956,M,Rep,NC,D
McKeon,Howard,9/9/1938,M,Rep,CA,R
McNulty,Michael,9/16/1947,M,Rep,NY,D
Meehan,Martin,12/30/1956,M,Rep,MA,D
Menéndez,Robert,1/1/1954,M,Sen,NJ,D
Mica,John,1/27/1943,M,Rep,FL,R
Mikulski,Barbara,7/20/1936,F,Sen,MD,D
Millender-McDonald,Juanita,9/7/1938,F,Rep,CA,D
Miller,George,5/17/1945,M,Rep,CA,D
Mollohan,Alan,5/14/1943,M,Rep,WV,D
Moran,James,5/16/1945,M,Rep,VA,D
Moran,Jerry,5/29/1954,M,Sen,KS,R
Murray,Patty,10/11/1950,F,Sen,WA,D
Murtha,John,6/17/1932,M,Rep,PA,D
Myrick,Sue,8/1/1941,F,Rep,NC,R
Meeks,Gregory,9/25/1953,M,Rep,NY,D
Manzullo,Donald,3/24/1944,M,Rep,IL,R
Miller,Gary,10/16/1948,M,Rep,CA,R
Moore,Dennis,11/8/1945,M,Rep,KS,D
Matheson,Jim,3/21/1960,M,Rep,UT,D
