year,week,winner,loser
2009,12,Dallas Cowboys,Oakland Raiders
2009,12,Baltimore Ravens,Pittsburgh Steelers
2009,12,Seattle Seahawks,St. Louis Rams
2009,12,Atlanta Falcons,Tampa Bay Buccaneers
2009,12,Philadelphia Eagles,Washington Redskins
2009,12,Buffalo Bills,Miami Dolphins
2009,12,San Diego Chargers,Kansas City Chiefs
2009,12,San Francisco 49ers,Jacksonville Jaguars
2009,12,Tennessee Titans,Arizona Cardinals
2009,12,Indianapolis Colts,Houston Texans
2009,12,Cincinnati Bengals,Cleveland Browns
2009,12,Minnesota Vikings,Chicago Bears
2009,12,New York Jets,Carolina Panthers
2009,12,New Orleans Saints,New England Patriots
2009,13,New York Jets,Buffalo Bills
2009,13,Seattle Seahawks,San Francisco 49ers
2009,13,San Diego Chargers,Cleveland Browns
2009,13,Chicago Bears,St. Louis Rams
2009,13,Oakland Raiders,Pittsburgh Steelers
2009,13,Philadelphia Eagles,Atlanta Falcons
2009,13,Indianapolis Colts,Tennessee Titans
2009,13,Carolina Panthers,Tampa Bay Buccaneers
2009,13,Miami Dolphins,New England Patriots
2009,13,New York Giants,Dallas Cowboys
2009,13,Denver Broncos,Kansas City Chiefs
2009,13,Cincinnati Bengals,Detroit Lions
2009,13,Jacksonville Jaguars,Houston Texans
2009,13,Arizona Cardinals,Minnesota Vikings
2009,13,New Orleans Saints,Washington Redskins
2009,13,Green Bay Packers,Baltimore Ravens
2009,14,Cleveland Browns,Pittsburgh Steelers
2009,14,New York Jets,Tampa Bay Buccaneers
2009,14,Philadelphia Eagles,New York Giants
2009,14,Tennessee Titans,St. Louis Rams
2009,14,San Diego Chargers,Dallas Cowboys
2009,14,Houston Texans,Seattle Seahawks
2009,14,Washington Redskins,Oakland Raiders
2009,14,New Orleans Saints,Atlanta Falcons
2009,14,Miami Dolphins,Jacksonville Jaguars
2009,14,Buffalo Bills,Kansas City Chiefs
2009,14,New England Patriots,Carolina Panthers
2009,14,Minnesota Vikings,Cincinnati Bengals
2009,14,Indianapolis Colts,Denver Broncos
2009,14,Baltimore Ravens,Detroit Lions
2009,14,Green Bay Packers,Chicago Bears
2009,14,San Francisco 49ers,Arizona Cardinals
2009,15,Indianapolis Colts,Jacksonville Jaguars
2009,15,Dallas Cowboys,New Orleans Saints
2009,15,Carolina Panthers,Minnesota Vikings
2009,15,New England Patriots,Buffalo Bills
2009,15,Oakland Raiders,Denver Broncos
2009,15,Philadelphia Eagles,San Francisco 49ers
2009,15,Tampa Bay Buccaneers,Seattle Seahawks
2009,15,Tennessee Titans,Miami Dolphins
2009,15,Houston Texans,St. Louis Rams
2009,15,Pittsburgh Steelers,Green Bay Packers
2009,15,Atlanta Falcons,New York Jets
2009,15,Baltimore Ravens,Chicago Bears
2009,15,San Diego Chargers,Cincinnati Bengals
2009,15,Cleveland Browns,Kansas City Chiefs
2009,15,Arizona Cardinals,Detroit Lions
2009,15,New York Giants,Washington Redskins
2009,16,San Diego Chargers,Tennessee Titans
2009,16,Cleveland Browns,Oakland Raiders
2009,16,Arizona Cardinals,St. Louis Rams
2009,16,Pittsburgh Steelers,Baltimore Ravens
2009,16,Green Bay Packers,Seattle Seahawks
2009,16,Tampa Bay Buccaneers,New Orleans Saints
2009,16,New York Jets,Indianapolis Colts
2009,16,Cincinnati Bengals,Kansas City Chiefs
2009,16,Dallas Cowboys,Washington Redskins
2009,16,New England Patriots,Jacksonville Jaguars
2009,16,Houston Texans,Miami Dolphins
2009,16,San Francisco 49ers,Detroit Lions
