"Age","AttendedBootcamp","BootcampFinish","BootcampLoanYesNo","BootcampName","BootcampRecommend","ChildrenNumber","CityPopulation","CodeEventConferences","CodeEventDjangoGirls","CodeEventFCC","CodeEventGameJam","CodeEventGirlDev","CodeEventHackathons","CodeEventMeetup","CodeEventNodeSchool","CodeEventNone","CodeEventOther","CodeEventRailsBridge","CodeEventRailsGirls","CodeEventStartUpWknd","CodeEventWkdBootcamps","CodeEventWomenCode","CodeEventWorkshops","CommuteTime","CountryCitizen","CountryLive","EmploymentField","EmploymentFieldOther","EmploymentStatus","EmploymentStatusOther","ExpectedEarning","FinanciallySupporting","FirstDevJob","Gender","GenderOther","HasChildren","HasDebt","HasFinancialDependents","HasHighSpdInternet","HasHomeMortgage","HasServedInMilitary","HasStudentDebt","HomeMortgageOwe","HoursLearning","ID.x","ID.y","Income","IsEthnicMinority","IsReceiveDisabilitiesBenefits","IsSoftwareDev","IsUnderEmployed","JobApplyWhen","JobInterestBackEnd","JobInterestDataEngr","JobInterestDataSci","JobInterestDevOps","JobInterestFrontEnd","JobInterestFullStack","JobInterestGameDev","JobInterestInfoSec","JobInterestMobile","JobInterestOther","JobInterestProjMngr","JobInterestQAEngr","JobInterestUX","JobPref","JobRelocateYesNo","JobRoleInterest","JobWherePref","LanguageAtHome","MaritalStatus","MoneyForLearning","MonthsProgramming","NetworkID","Part1EndTime","Part1StartTime","Part2EndTime","Part2StartTime","PodcastChangeLog","PodcastCodeNewbie","PodcastCodePen","PodcastDevTea","PodcastDotNET","PodcastGiantRobots","PodcastJSAir","PodcastJSJabber","PodcastNone","PodcastOther","PodcastProgThrowdown","PodcastRubyRogues","PodcastSEDaily","PodcastSERadio","PodcastShopTalk","PodcastTalkPython","PodcastTheWebAhead","ResourceCodecademy","ResourceCodeWars","ResourceCoursera","ResourceCSS","ResourceEdX","ResourceEgghead","ResourceFCC","ResourceHackerRank","ResourceKA","ResourceLynda","ResourceMDN","ResourceOdinProj","ResourceOther","ResourcePluralSight","ResourceSkillcrush","ResourceSO","ResourceTreehouse","ResourceUdacity","ResourceUdemy","ResourceW3S","SchoolDegree","SchoolMajor","StudentDebtOwe","YouTubeCodeCourse","YouTubeCodingTrain","YouTubeCodingTut360","YouTubeComputerphile","YouTubeDerekBanas","YouTubeDevTips","YouTubeEngineeredTruth","YouTubeFCC","YouTubeFunFunFunction","YouTubeGoogleDev","YouTubeLearnCode","YouTubeLevelUpTuts","YouTubeMIT","YouTubeMozillaHacks","YouTubeOther","YouTubeSimplilearn","YouTubeTheNewBoston"
20,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than 15 minutes","United States of America","United States of America",NA,NA,"Employed for wages",NA,NA,NA,NA,"male",NA,NA,1,0,1,0,0,1,NA,15,"95489815d24b30451a2da02deef34295","9bc46c6d281854247d3eddd95e4d2592",20000,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"English","married or domestic partnership",0,5,"9441508ad3",2017-03-09 00:48:59,"2017-03-09 00:41:15","2017-03-09 00:51:03",2017-03-09 00:49:06,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"bachelor's degree","Computer Science",10000,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
22,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain","Germany",NA,NA,"Not working but looking for work",NA,40000,NA,NA,"male",NA,NA,0,0,0,NA,0,NA,NA,50,"dbf3936a702aeb6daf4b83e5c6dce106","8815a65eb88a67a13d042b0fdfdd5f3e",NA,1,0,0,NA,"Within the next 6 months",NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"work for a medium-sized company",1,"  DevOps / SysAdmin,   Data Scientist, Information Security, Data Engineer","in an office with other developers","Tagalog","single, never married",0,1,"a00dee6ab4",2017-03-09 00:49:58,"2017-03-09 00:45:17","2017-03-09 00:52:37",2017-03-09 00:50:03,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"no high school (secondary school)",NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than 15 minutes","United States of America","United States of America","sales",NA,"Employed for wages",NA,NA,NA,NA,"male",NA,NA,1,0,1,0,0,1,NA,5,"87bf14c81d60ce237e81deba0fe54e3d","4aa2e89d07b3ae93b8f6b12f3695dec0",10000,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"English","single, never married",0,3,"11f77f2403",2017-03-09 00:51:05,"2017-03-09 00:49:19","2017-03-09 00:52:58",2017-03-09 00:51:08,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"high school diploma or equivalent (GED)",NA,5500,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America","United States of America",NA,NA,"A stay-at-home parent or homemaker",NA,NA,NA,NA,"female",NA,NA,NA,NA,1,NA,0,NA,NA,NA,"b6fa17fa0eeeaa6b512f1bed5f4e522c","53ea9a9b904743a3ce8cb935aa73c069",NA,0,0,0,NA,"Within 7 to 12 months",1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"work for a nonprofit",NA,"Back-End Web Developer, Full-Stack Web Developer,   Front-End Web Developer","from home","English",NA,NA,NA,"e7a199e8d9",2017-03-09 00:54:19,"2017-03-09 00:51:39","2017-03-09 00:57:06",2017-03-09 00:54:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"master's degree (non-professional)","Library Science and Administration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,1,0,"Code Fellows",1,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 to 44 minutes","United States of America","United States of America","office and administrative support",NA,"Employed for wages",NA,60000,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,40,"230e790eddc09b2a6c3d11ae95767a10","f1af88dd77fe5592954d5d8292a04abd",NA,0,0,0,1,"I'm already applying",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"work for a startup",0,"Full-Stack Web Developer","in an office with other developers","English","married or domestic partnership",NA,9,"4f78bf8cf8",2017-03-09 00:55:20,"2017-03-09 00:52:09","2017-03-09 00:58:04",2017-03-09 00:55:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,"bachelor's degree","Game Design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 to 44 minutes","United States of America","United States of America","sales",NA,"Employed for wages",NA,40000,NA,NA,"male",NA,NA,1,0,1,0,0,1,NA,1,"cfff58e11d5ab123bd574302ff1b8e8f","044f4310564b902b19f1e2d776b988d6",20000,0,0,0,1,"more than 12 months from now",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"work for a nonprofit",1,"Full-Stack Web Developer","in an office with other developers","English","single, never married",0,1,"4b5d882f3a",2017-03-09 00:55:36,"2017-03-09 00:47:48","2017-03-09 00:57:31",2017-03-09 00:55:39,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"master's degree (non-professional)","English",25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"30 to 44 minutes","Lithuania","United States of America","finance",NA,"Employed for wages",NA,60000,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,6,"91ec37259e33b1549af3506011142f4a","3d23237a292a1d0441c882ae42830e8c",60000,0,0,0,0,"Within the next 6 months",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"work for a medium-sized company",0,"Full-Stack Web Developer","in an office with other developers","English","married or domestic partnership",200,12,"049bc4d083",2017-03-09 01:02:14,"2017-03-09 01:00:10","2017-03-09 01:04:00",2017-03-09 01:02:17,1,1,NA,NA,1,NA,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,"master's degree (non-professional)","Political Science",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1
18,0,NA,NA,NA,NA,NA,"more than 1 million",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Less than 15 minutes","United States of America","United States of America",NA,"Student","Employed for wages",NA,NA,NA,NA,"male",NA,NA,0,0,1,NA,0,NA,NA,10,"803ce24e565bec1b7ab208f965f94541","3a345b22c3ee0038cd6771f5a86d2e54",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"start your own business",NA,NA,NA,"English","single, never married",100,40,"2362a4dcb5",2017-03-09 01:02:57,"2017-03-09 01:00:53","2017-03-09 01:04:51",2017-03-09 01:03:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,"some college credit, no degree",NA,NA,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,1
46,0,NA,NA,NA,NA,NA,"more than 1 million",NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,"I work from home","United States of America","United States of America","arts, entertainment, sports, or media",NA,"Self-employed freelancer",NA,90000,NA,NA,"female",NA,NA,1,0,1,0,0,1,NA,1,"0b6d57c7f0e7aa139b9e7599a6bb8577","ffabd424a02dfbd0a34942718ba2063f",76000,1,0,0,0,"Within 7 to 12 months",1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,"work for a nonprofit",0,"Full-Stack Web Developer,   Front-End Web Developer,   User Experience Designer, Back-End Web Developer","in an office with other developers","English","single, never married",500,14,"7be057f130",2017-03-09 01:04:45,"2017-03-09 01:00:56","2017-03-09 01:09:38",2017-03-09 01:04:48,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,"bachelor's degree","English",104559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0,NA,NA,NA,NA,NA,"less than 100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 to 44 minutes","United States of America","United States of America","education",NA,"Employed for wages",NA,60000,NA,NA,"male",NA,NA,1,0,1,0,0,1,NA,15,"e9f4d379ae6faff08e311ce2f6d1d12f","45a34a1911d159473bd2d9dc1dd33edb",34000,1,0,0,0,"Within the next 6 months",NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,"work for a medium-sized company",NA,"  Front-End Web Developer,   Mobile Developer, Game Developer, Full-Stack Web Developer","from home","English","single, never married",500,28,"529b08bb54",2017-03-09 01:06:39,"2017-03-09 01:01:26","2017-03-09 01:08:56",2017-03-09 01:06:43,1,1,NA,NA,NA,NA,NA,1,NA,"Complete Developer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Front End Masters",NA,NA,1,NA,NA,NA,NA,"some college credit, no degree",NA,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0,NA,NA,NA,NA,NA,"between 100,000 and 1 million",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macedonia","Macedonia",NA,NA,"Not working but looking for work",NA,NA,NA,1,"male",NA,NA,0,0,1,NA,0,NA,NA,40,"a69da955eab198074abc546a15752c70","c801e27368d235bad263a6f5281be7e4",NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macedonian","single, never married",4000,20,"65b48526e5",2017-03-09 01:10:55,"2017-03-09 01:09:07","2017-03-09 01:12:42",2017-03-09 01:11:04,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"bachelor's degree","Computer Software Engineering",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
