id,last,first,player_debut,mgr_debut,coach_debut,ump_debut
aldrs001,"Aldred","Scott",09/09/1990,,,
aldrm001,"Aldrete","Mike",05/28/1986,,04/06/2004,
aldrj001,"Aldrich","Jay",06/05/1987,,,
aldrc001,"Aldridge","Cory",09/05/2001,,,
aldrv101,"Aldridge","Vic",04/15/1917,,,
alejb801,"Alejo","Bob",,,04/05/1993,
alenc101,"Aleno","Chuck",05/15/1941,,,
alexb101,"Alexander","Bob",04/11/1955,,,
alexd101,"Alexander","Dale",04/16/1929,,,
alexd001,"Alexander","Doyle",06/26/1971,,,
alexg101,"Alexander","Gary",09/12/1975,,,
alexg001,"Alexander","Gerald",09/09/1990,,,
alexh101,"Alexander","Hugh",08/15/1937,,,
alexm001,"Alexander","Manny",09/18/1992,,,
alexm101,"Alexander","Matt",08/23/1973,,,
alexn101,"Alexander","Nin",06/07/1884,,,
alexg102,"Alexander","Pete",04/15/1911,,,
alexs001,"Alexander","Scott",09/02/2015,,,
alexw101,"Alexander","Walt",06/21/1912,,,
alfaj001,"Alfaro","Jason",09/09/2004,,,
alfaj002,"Alfaro","Jorge",09/12/2016,,,
alfoa001,"Alfonseca","Antonio",06/17/1997,,,
alfoc801,"Alfonso","Carlos",,,04/06/1992,
alfoe001,"Alfonzo","Edgardo",04/26/1995,,,
alfoe002,"Alfonzo","Eliezer",06/03/2006,,,
alfoa002,"Alford","Anthony",05/19/2017,,,
alguj801,"Alguacil","Jose",,,04/02/2017,
alicl001,"Alicea","Luis",04/23/1988,,04/02/2007,
allaa001,"Allanson","Andy",04/07/1986,,,
allab101,"Allard","Brian",08/08/1979,,,
alleb105,"Allen","Bernie",04/10/1962,,,
alleb101,"Allen","Bob",04/14/1961,,,
alleb103,"Allen","Bob",04/19/1890,06/25/1890,,
alleb104,"Allen","Bob",08/20/1919,,,
alleb102,"Allen","Bob",09/19/1937,,,
alleb001,"Allen","Brandon",08/22/2009,,,
allec001,"Allen","Chad",04/06/1999,,,
allec002,"Allen","Cody",07/20/2012,,,
alled101,"Allen","Dick",09/03/1963,,,
alled001,"Allen","Dusty",07/01/2000,,,
allee101,"Allen","Ethan",06/13/1926,,,
allef101,"Allen","Frank",04/24/1912,,,
alleg002,"Allen","Greg",09/01/2017,,,
alleh102,"Allen","Ham",04/27/1872,,,10/21/1876
alleh104,"Allen","Hank",09/09/1966,,,
alleh103,"Allen","Hezekiah",05/16/1884,,,
alleh101,"Allen","Horace",06/15/1919,,,
allej103,"Allen","Jack",05/01/1879,,,
allej101,"Allen","Jamie",05/01/1983,,,
allej104,"Allen","John",06/02/1914,,,
allej102,"Allen","Johnny",04/19/1932,,,
allek101,"Allen","Kim",09/02/1980,,,
allel101,"Allen","Lloyd",09/01/1969,,,
allel001,"Allen","Luke",09/10/2002,,,
allem101,"Allen","Myron",07/19/1883,,,
allen001,"Allen","Neil",04/15/1979,,04/03/2005,
allen101,"Allen","Nick",05/01/1914,,,
allep101,"Allen","Pete",08/04/1893,,,
aller001,"Allen","Rod",04/07/1983,,,
aller101,"Allen","Ron",08/11/1972,,,
alles101,"Allen","Sled",05/04/1910,,,
alleg001,"Allenson","Gary",04/08/1979,,04/07/1992,
allej001,"Allensworth","Jermaine",07/23/1996,,,
alleg101,"Alley","Gene",09/04/1963,,,
allig101,"Allie","Gair",04/13/1954,,,
allib101,"Allietta","Bob",05/06/1975,,,
allia102,"Allison","Andy",05/07/1872,05/07/1872,,05/15/1872
allia101,"Allison","Art",05/04/1871,,,08/05/1871
allib102,"Allison","Bill",05/21/1872,,,
allib103,"Allison","Bob",09/16/1958,,,
allid001,"Allison","Dana",04/12/1991,,,
allid101,"Allison","Doug",05/05/1871,,,05/07/1872
allim102,"Allison","Mack",09/13/1911,,,
allim101,"Allison","Milo",09/26/1913,,,
allrb001,"Allred","Beau",09/07/1989,,,
almam101,"Almada","Mel",09/08/1933,,,
almaa001,"Almanza","Armando",07/29/1999,,,
almac001,"Almanzar","Carlos",09/04/1997,,,
almer101,"Almeida","Rafael",07/04/1911,,,
almob001,"Almon","Bill",09/02/1974,,,
almoa001,"Almonte","Abraham",08/30/2013,,,
almoe002,"Almonte","Edwin",07/07/2003,,,
almoe001,"Almonte","Erick",09/04/2001,,,
almoh001,"Almonte","Hector",07/26/1999,,,
almom001,"Almonte","Miguel",09/01/2015,,,
almoz001,"Almonte","Zoilo",06/19/2013,,,
almoa002,"Almora","Albert",06/07/2016,,,
aloml101,"Aloma","Luis",04/19/1950,,,
alomr001,"Alomar","Roberto",04/22/1988,,,
aloms101,"Alomar","Sandy",09/15/1964,,04/07/1986,
aloms001,"Alomar","Sandy",09/30/1988,9/28/2012,03/31/2008,
alony001,"Alonso","Yonder",09/01/2010,,,
alouf101,"Alou","Felipe",06/08/1958,5/22/1992,04/06/1979,
alouj101,"Alou","Jesus",09/10/1963,,04/06/1979,
aloum101,"Alou","Matty",09/26/1960,,,
aloum001,"Alou","Moises",07/26/1990,,,
alpew101,"Alpermann","Whitey",04/13/1906,,,
alstd901,"Alston","Dave",,,,06/30/1871
alstd101,"Alston","Dell",05/17/1977,,,
alstg001,"Alston","Garvin",06/06/1996,,04/04/2016,
alstt101,"Alston","Tom",04/13/1954,,,
alstw101,"Alston","Walter",09/27/1936,4/13/1954,,
altap001,"Altamirano","Porfi",05/09/1982,,,
altad001,"Altavilla","Dan",08/27/2016,,,
altee101,"Alten","Ernie",04/17/1920,,,
altej101,"Altenburg","Jesse",09/19/1916,,,
altha001,"Altherr","Aaron",06/16/2014,,,
altid101,"Altizer","Dave",05/29/1906,,,
altmg101,"Altman","George",04/11/1959,,,
altoj101,"Altobelli","Joe",04/14/1955,4/7/1977,04/09/1981,
altrn101,"Altrock","Nick",07/14/1898,,04/11/1912,06/03/1907
altuj001,"Altuve","Jose",07/20/2011,,,
alusg101,"Alusik","George",09/11/1958,,,
alvaj004,"Alvarado","Jose",05/04/2017,,,
alval101,"Alvarado","Luis",09/13/1968,,,
alvaa001,"Alvarez","Abe",07/22/2004,,,
alvac001,"Alvarez","Clemente",09/19/2000,,,
alvad002,"Alvarez","Dariel",08/28/2015,,,
alvad001,"Alvarez","Dario",09/03/2014,,,
alvag001,"Alvarez","Gabe",06/22/1998,,,
alvah001,"Alvarez","Henderson",08/10/2011,,,
alvaj003,"Alvarez","Jose",06/09/2013,,,
alvaj001,"Alvarez","Jose",10/01/1981,,,
alvaj002,"Alvarez","Juan",09/01/1999,,,
alvao102,"Alvarez","Orlando",09/01/1973,,,
alvao101,"Alvarez","Ossie",04/19/1958,,,
alvap001,"Alvarez","Pedro",06/16/2010,,,
alvar001,"Alvarez","R.J.",09/03/2014,,,
alvar101,"Alvarez","Rogelio",09/18/1960,,,
alvat001,"Alvarez","Tavo",08/21/1995,,,
alvat002,"Alvarez","Tony",09/04/2002,,,
alvav001,"Alvarez","Victor",07/30/2002,,,
alvaw001,"Alvarez","Wilson",07/24/1989,,,
alvim101,"Alvis","Max",09/11/1962,,,
alvob101,"Alvord","Billy",04/30/1885,,,
alyeb101,"Alyea","Brant",09/11/1965,,,
amalj101,"Amalfitano","Joey",05/02/1954,9/24/1979,04/11/1967,
amarr001,"Amaral","Rich",05/27/1991,,,
amara001,"Amarista","Alexi",04/26/2011,,,
amarr002,"Amaro","Ruben",06/08/1991,,04/05/2016,
amarr101,"Amaro","Ruben",06/29/1958,,04/11/1980,
amblw101,"Ambler","Wayne",06/04/1937,,,
ambrc001,"Ambres","Chip",07/20/2005,,,
ambrh001,"Ambriz","Hector",04/30/2010,,,
amele001,"Amelung","Ed",07/28/1984,,,
amesr101,"Ames","Red",09/14/1903,,,
amess001,"Ames","Steve",07/30/2013,,,
ameza001,"Amezaga","Alfredo",05/24/2002,,,
amold101,"Amole","Doc",08/19/1897,,,
amorv101,"Amor","Vicente",04/16/1955,,,
amors101,"Amoros","Sandy",08/22/1952,,,
anckw101,"Ancker","Walter",09/03/1915,,,
andel001,"Andersen","Larry",09/05/1975,,,
andea102,"Anderson","Alf",04/20/1941,,,
andea001,"Anderson","Allan",06/11/1986,,,
andea101,"Anderson","Andy",05/10/1948,,,
andea901,"Anderson","Andy",,,,08/25/1978
robib103,"Anderson","Bill",08/12/1889,,,
andeb103,"Anderson","Bill",09/10/1925,,,
andeb102,"Anderson","Bob",07/31/1957,,,
andeb001,"Anderson","Brady",04/04/1988,,,
andeb004,"Anderson","Brett",04/10/2009,,,
andeb003,"Anderson","Brian",08/16/2005,,,
andeb006,"Anderson","Brian",09/01/2017,,,
andeb002,"Anderson","Brian",09/10/1993,,,
andeb005,"Anderson","Bryan",04/15/2010,,,
andeb101,"Anderson","Bud",06/11/1982,,,
andec001,"Anderson","Chase",05/11/2014,,,
andec002,"Anderson","Cody",06/21/2015,,,
andec101,"Anderson","Craig",06/23/1961,,,
anded001,"Anderson","Dave",05/08/1983,,04/06/2009,
anded102,"Anderson","Dave",08/24/1889,,,09/19/1890
anded003,"Anderson","Drew",08/01/2017,,,
anded002,"Anderson","Drew",09/11/2006,,,
anded101,"Anderson","Dwain",09/03/1971,,,
andef102,"Anderson","Ferrell",04/16/1946,,,
andef101,"Anderson","Fred",09/25/1909,,,
andeg001,"Anderson","Garret",07/27/1994,,,
andeg102,"Anderson","George",05/26/1914,,,
andeg101,"Anderson","Goat",04/11/1907,,,
andeh102,"Anderson","Hal",04/12/1932,,,
andeh101,"Anderson","Harry",04/18/1957,,,
andej003,"Anderson","Jason",03/31/2003,,,
andej001,"Anderson","Jim",07/02/1978,,,
andej002,"Anderson","Jimmy",07/04/1999,,,
andej102,"Anderson","John",08/17/1958,,,
andej101,"Anderson","John",09/08/1894,,,
andej004,"Anderson","Josh",09/02/2007,,,
andek001,"Anderson","Kent",04/15/1989,,,
andel101,"Anderson","Larry",09/25/1974,,,
andel002,"Anderson","Lars",09/06/2010,,,
andem003,"Anderson","Marlon",09/08/1998,,,
andem002,"Anderson","Matt",06/25/1998,,,
andem101,"Anderson","Mike",09/02/1971,,,
andem001,"Anderson","Mike",09/07/1993,,,
andeo901,"Anderson","Ollie",,,,04/14/1914
ander102,"Anderson","Red",09/19/1937,,,
ander001,"Anderson","Rick",06/09/1986,,04/01/2002,
ander101,"Anderson","Rick",09/18/1979,,,
andes001,"Anderson","Scott",04/08/1987,,,
andes101,"Anderson","Sparky",04/10/1959,4/6/1970,04/08/1969,
andet001,"Anderson","Tim",06/10/2016,,,
andet002,"Anderson","Tyler",06/12/2016,,,
andev101,"Anderson","Varney",08/01/1889,,,
andew102,"Anderson","Walter",05/14/1917,,,
andew101,"Anderson","Wingo",04/16/1910,,,
andir001,"Andino","Robert",09/04/2005,,,
andrs002,"Andrade","Steve",05/01/2006,,,
andrj102,"Andre","John",04/16/1955,,,
andre103,"Andres","Ernie",04/16/1946,,,
andrb901,"Andress","Bill",,,,05/01/1979
andrb801,"Andress","Brad",,,04/09/1990,
andrk101,"Andrew","Kim",04/16/1975,,,
andrc001,"Andrews","Clayton",04/16/2000,,,
andre101,"Andrews","Ed",05/01/1884,,,06/06/1889
andre102,"Andrews","Elbert",05/01/1925,,,
andrf101,"Andrews","Fred",09/26/1976,,,
andrh101,"Andrews","Hub",04/20/1947,,,
andri101,"Andrews","Ivy",08/15/1931,,,
andrj801,"Andrews","Jeff",,,03/31/2008,
andrj103,"Andrews","Jim",04/19/1890,,,
andrj101,"Andrews","John",04/08/1973,,,
andrm101,"Andrews","Mike",09/18/1966,,,
andrn101,"Andrews","Nate",05/01/1937,,,
andrr101,"Andrews","Rob",04/07/1975,,,
andrs001,"Andrews","Shane",04/26/1995,,,
andrs101,"Andrews","Stan",06/11/1939,,,
andrw102,"Andrews","Wally",05/22/1884,,,
andrm001,"Andriese","Matt",04/10/2015,,,
andrb101,"Andrus","Bill",09/19/1931,,,
andre001,"Andrus","Elvis",04/06/2009,,,
andrf102,"Andrus","Fred",07/25/1876,,,
andrw101,"Andrus","Wyman",09/15/1885,,,
anduj001,"Andujar","Joaquin",04/08/1976,,,
andul001,"Andujar","Luis",09/08/1995,,,
andum001,"Andujar","Miguel",06/28/2017,,,
angen101,"Angelini","Norm",07/22/1972,,,
anglm001,"Angle","Matt",07/17/2011,,,
anglt101,"Angley","Tom",04/23/1929,,,
ankep101,"Ankenman","Pat",04/16/1936,,,
ankir001,"Ankiel","Rick",08/23/1999,,,
annad001,"Anna","Dean",04/04/2014,,,
annaw901,"Annan","Bill",,,,05/17/1873
annib101,"Annis","Bill",05/01/1884,,,
ansoc101,"Anson","Cap",05/06/1871,10/11/1875,,
anthe001,"Anthony","Eric",07/28/1989,,,
anthm901,"Anthony","Merle",,,,06/21/1969
antoj102,"Antolick","Joe",09/20/1944,,,
antod001,"Antolin","Dustin",05/16/2016,,,
antoj101,"Antonelli","John",09/16/1944,,,
antoj103,"Antonelli","Johnny",07/04/1948,,,
antom001,"Antonelli","Matt",09/01/2008,,,
antob101,"Antonello","Bill",04/30/1953,,,
aokin001,"Aoki","Nori",04/06/2012,,,
aparl101,"Aparicio","Luis",04/17/1956,,,
apodb101,"Apodaca","Bob",09/18/1973,,04/01/1996,
aponl001,"Aponte","Luis",09/04/1980,,,
aponr801,"Aponte","Ricardo",,,04/02/2007,
appik001,"Appier","Kevin",06/04/1989,,,
applf101,"Applegate","Fred",09/30/1904,,,
apple101,"Appleton","Ed",04/16/1915,,,
applp101,"Appleton","Pete",09/14/1927,,,
appll101,"Appling","Luke",09/10/1930,8/21/1967,04/19/1960,
aquig001,"Aquino","Greg",07/02/2004,,,
aquij001,"Aquino","Jayson",07/04/2016,,,
aquil001,"Aquino","Luis",08/08/1986,,,
araga101,"Aragon","Angel",08/20/1914,,,
aragj101,"Aragon","Jack",08/13/1941,,,
aranv001,"Arano","Victor",09/12/2017,,,
aratm901,"Arata","Mark",,,,04/08/1991
araue001,"Araujo","Elvis",05/05/2015,,,
archm101,"Archdeacon","Maurice",09/17/1923,,,
archc001,"Archer","Chris",06/20/2012,,,
archf101,"Archer","Fred",09/05/1936,,,
archj101,"Archer","Jim",04/30/1961,,,
archj102,"Archer","Jimmy",09/06/1904,,,
archg101,"Archie","George",09/14/1938,,,
arcij101,"Arcia","Jose",04/10/1968,,,
arcio002,"Arcia","Orlando",08/02/2016,,,
arcio001,"Arcia","Oswaldo",04/15/2013,,,
arded101,"Ardell","Dan",09/14/1961,,,
ardir101,"Ardizoia","Rugger",04/30/1947,,,
ardnj101,"Ardner","Joe",05/01/1884,,,
ardod001,"Ardoin","Danny",08/02/2000,,,
arelf101,"Arellanes","Frank",07/28/1908,,,
arenn001,"Arenado","Nolan",04/28/2013,,,
arenj001,"Arencibia","J.P.",08/07/2010,,,
arfth101,"Arft","Hank",07/27/1948,,,
ariaa002,"Arias","Alberto",05/01/2007,,,
ariaa001,"Arias","Alex",05/12/1992,,,
ariag001,"Arias","George",04/02/1996,,,
ariaj001,"Arias","Joaquin",09/13/2006,,,
ariar101,"Arias","Rudy",04/10/1959,,,
arleb101,"Arlett","Buzz",04/14/1931,,,
arlid101,"Arlich","Don",10/02/1965,,,
arlis101,"Arlin","Steve",06/17/1969,,,
armam001,"Armas","Marcos",05/25/1993,,,
armat002,"Armas","Tony",08/16/1999,,,
armat001,"Armas","Tony",09/06/1976,,,
armbe101,"Armbrister","Ed",08/31/1973,,,
armbo101,"Armbrust","Orville",09/18/1934,,,
armbc101,"Armbruster","Charlie",07/17/1905,,,
armbh101,"Armbruster","Harry",04/30/1906,,,
armer901,"Armendariz","Ramon",,,,05/01/2004
armob801,"Armour","Bill",,4/23/1902,,
armsg101,"Armstrong","George",04/26/1946,,,
armsh101,"Armstrong","Howard",09/30/1911,,,
armsj001,"Armstrong","Jack",06/21/1988,,,
armsm001,"Armstrong","Mike",08/12/1980,,,
armsr101,"Armstrong","Robert",06/26/1871,,,
armss001,"Armstrong","Shawn",08/08/2015,,,
arndh101,"Arndt","Harry",07/02/1902,,,
arndl001,"Arndt","Larry",06/06/1989,,,
arnob101,"Arnold","Billy",04/26/1872,,,10/02/1875
arnoc101,"Arnold","Chris",09/07/1971,,,
arnof901,"Arnold","Frank",,,,05/20/1889
arnoj001,"Arnold","Jamie",04/20/1999,,,
arnos001,"Arnold","Scott",04/07/1988,,,
arnot001,"Arnold","Tony",08/09/1986,,,
arnom101,"Arnovich","Morrie",09/14/1936,,,
arnsb001,"Arnsberg","Brad",09/06/1986,,04/03/2000,
arnto101,"Arntzen","Orie",04/20/1943,,,
aro-j001,"Aro","Jonathan",06/25/2015,,,
arocr001,"Arocha","Rene",04/09/1993,,,
arrej001,"Arredondo","Jose",05/14/2008,,,
arrij001,"Arrieta","Jake",06/10/2010,,,
arrig101,"Arrigo","Gerry",06/12/1961,,,
arror001,"Arrojo","Rolando",04/01/1998,,,
arrob001,"Arroyo","Bronson",06/12/2000,,,
arroc001,"Arroyo","Christian",04/24/2017,,,
arrof001,"Arroyo","Fernando",06/28/1975,,,
arrol101,"Arroyo","Luis",04/20/1955,,,
arror101,"Arroyo","Rudy",06/01/1971,,,
arrue001,"Arruebarrena","Erisbel",05/23/2014,,,
arsep801,"Arsenault","Pierre",,,04/06/1992,
arunh101,"Arundel","Harry",07/19/1875,,,
arunt101,"Arundel","Tug",05/23/1882,,,07/24/1888
asadr001,"Asadoor","Randy",09/14/1986,,,
asbej101,"Asbell","Jim",05/08/1938,,,
asbjc101,"Asbjornson","Casper",09/17/1928,,,
ascaj001,"Ascanio","Jose",07/13/2007,,,
aschc001,"Asche","Cody",07/30/2013,,,
aschd901,"Aschwege","Dave",,,,07/08/2003
asenm001,"Asencio","Miguel",04/06/2002,,,
ash-k101,"Ash","Ken",04/17/1925,,,
ashbr101,"Ashburn","Richie",04/20/1948,,,
ashba001,"Ashby","Alan",07/03/1973,,04/01/1997,
ashba002,"Ashby","Andy",06/10/1991,,,
ashea001,"Asher","Alec",08/30/2015,,,
ashfe901,"Ashford","Emmett",,,,04/11/1966
ashft001,"Ashford","Tucker",09/21/1976,,,
ashlb001,"Ashley","Billy",09/01/1992,,,
ashln001,"Ashley","Nevin",09/09/2015,,,
asmut101,"Asmussen","Tom",08/10/1907,,,
asprb101,"Aspromonte","Bob",09/19/1956,,,
asprk101,"Aspromonte","Ken",09/02/1957,4/15/1972,,
asseb101,"Asselstine","Brian",09/14/1976,,,
assep001,"Assenmacher","Paul",04/12/1986,,,
astae001,"Astacio","Ezequiel",05/03/2005,,,
astap001,"Astacio","Pedro",07/03/1992,,,
astib001,"Astin","Barrett",04/03/2017,,,
astrj101,"Astroth","Joe",08/13/1945,,,
asuac001,"Asuaje","Carlos",09/21/2016,,,
atchs001,"Atchison","Scott",07/31/2004,,,
atchj001,"Atchley","Justin",04/07/2001,,,
athec101,"Atherton","Charlie",05/30/1899,,,
athek001,"Atherton","Keith",07/14/1983,,,
atill001,"Atilano","Luis",04/23/2010,,,
atkig001,"Atkins","Garrett",08/03/2003,,,
atkij101,"Atkins","James",09/29/1950,,,
atkim001,"Atkins","Mitch",07/29/2009,,,
